"","tipo","ano","mes","total"
"149","investimento","2016","Apr",113.83
"150","investimento","2016","May",82
"151","investimento","2016","Jun",82
"152","investimento","2016","Jul",96.39
"153","investimento","2016","Aug",82
"154","investimento","2016","Sep",135.57
"155","investimento","2016","Oct",82
"156","investimento","2016","Nov",82
"157","investimento","2016","Dec",95.45
"158","lazer","2015","Jan",49
"159","lazer","2015","Feb",34
"160","lazer","2015","Apr",243
"161","lazer","2015","May",81
"162","lazer","2015","Jun",615
"163","lazer","2015","Jul",208
"164","lazer","2015","Aug",286
"165","lazer","2015","Sep",64
"166","lazer","2015","Oct",189
"167","lazer","2015","Nov",86.07
"168","lazer","2015","Dec",222.85
"169","lazer","2016","Jan",132.69
"170","lazer","2016","Feb",304.02
"171","lazer","2016","Mar",144.83
"172","lazer","2016","Apr",32.04
"173","lazer","2016","May",42
"174","lazer","2016","Jun",98
"175","lazer","2016","Jul",57.49
"176","lazer","2016","Aug",32.6
"177","lazer","2016","Sep",55
"178","lazer","2016","Oct",252.12
"179","lazer","2016","Nov",23
"180","lazer","2016","Dec",23
"181","moradia","2015","Jan",90
"182","moradia","2015","Feb",155
"183","moradia","2015","Mar",224
"184","moradia","2015","Apr",308.66
"185","moradia","2015","May",308.66
"186","moradia","2015","Jun",243
"187","moradia","2015","Jul",211
"188","moradia","2015","Aug",280
"189","moradia","2015","Sep",212
"190","moradia","2015","Oct",274
"191","moradia","2015","Nov",223
"192","moradia","2015","Dec",220
"193","moradia","2016","Jan",227
"194","moradia","2016","Feb",327
"195","moradia","2016","Mar",227
"196","moradia","2016","Apr",227
"197","moradia","2016","May",227
"198","moradia","2016","Jun",227
"199","moradia","2016","Jul",227
"200","moradia","2016","Aug",227
"201","moradia","2016","Sep",182
"202","moradia","2016","Oct",227
"203","moradia","2016","Nov",227
"204","moradia","2016","Dec",382
"205","pagamentos","2015","Jan",41
"206","pagamentos","2015","Feb",624
"207","pagamentos","2015","Mar",361
"208","pagamentos","2015","Apr",651
"209","pagamentos","2015","May",315
"210","pagamentos","2015","Jun",862.5
"211","pagamentos","2015","Jul",1126.5
"212","pagamentos","2015","Aug",385.5
"213","pagamentos","2015","Sep",991.5
"214","pagamentos","2015","Oct",390.5
"215","pagamentos","2015","Nov",148.5
"216","pagamentos","2015","Dec",186
"217","pagamentos","2016","Jan",128
"218","pagamentos","2016","Feb",325
"219","pagamentos","2016","Mar",238
"220","pagamentos","2016","Apr",273
"221","pagamentos","2016","May",298
"222","pagamentos","2016","Jun",78
"223","pagamentos","2016","Jul",233
"224","pagamentos","2016","Aug",180
"225","pagamentos","2016","Sep",300
"226","pagamentos","2016","Oct",180
"227","pagamentos","2016","Nov",58
"228","pagamentos","2016","Dec",210
"229","pet","2015","Jan",432
"230","pet","2015","Feb",379
"231","pet","2015","Apr",89
"232","pet","2015","May",270
"233","pet","2015","Jun",83.33
"234","pet","2015","Jul",138.33
"235","pet","2015","Aug",160.33
"236","pet","2015","Sep",374
"237","pet","2015","Oct",257.66
"238","pet","2015","Nov",25.66
"239","pet","2015","Dec",25.66
"240","pet","2016","Mar",4.65
"241","pet","2016","Apr",20
"242","pet","2016","May",13.99
"243","pet","2016","Jun",129.8
"244","pet","2016","Aug",29.8
"245","pet","2016","Sep",369.75
"246","presentes","2015","Jan",67.5
"247","presentes","2015","Feb",112
"248","presentes","2015","Apr",228
"249","presentes","2015","Jun",70
"250","presentes","2015","Jul",45
"251","presentes","2015","Dec",44
"252","presentes","2016","Jan",46
"253","presentes","2016","Feb",129.87
"254","presentes","2016","Mar",34.6
"255","presentes","2016","Jun",50
"256","presentes","2016","Jul",57.6
"257","presentes","2016","Nov",88.8
"258","presentes","2016","Dec",66.69
"259","roupa","2015","Jan",250
"260","roupa","2015","Feb",170
