"","data","ano","mes","tipo","descrição","valor"
"960",2016-03-25,"2016","Mar","equipamentos","ferragens marukai ltda",20.6
"961",2016-03-25,"2016","Mar","presentes","amei bijuterias",30
"962",2016-03-25,"2016","Mar","alimentação","sup cent st andre 2800",64.96
"963",2016-03-25,"2016","Mar","transporte","carrefour pso 409",112.82
"964",2016-03-26,"2016","Mar","telefonia","tim erick & aline",100
"965",2016-03-26,"2016","Mar","investimento","pic (4/21)",82
"966",2016-03-27,"2016","Mar","seguros","mafre",260
"967",2016-03-27,"2016","Mar","beleza","cabelo ",30
"968",2016-03-29,"2016","Mar","pagamentos","saque",50
"969",2016-03-30,"2016","Mar","moradia","conta água",62
"970",2016-04-04,"2016","Apr","pagamentos","cx itau av xv de nov",120
"971",2016-04-04,"2016","Apr","equipamentos","climatizador",67
"972",2016-04-07,"2016","Apr","telefonia","netflix.com",19.9
"973",2016-04-09,"2016","Apr","alimentação","panificad",6.75
"974",2016-04-10,"2016","Apr","pagamentos","banco",48
"975",2016-04-12,"2016","Apr","equipamentos","sapato kung fu ",120
"976",2016-04-15,"2016","Apr","saúde","convênio ",278
"977",2016-04-15,"2016","Apr","educação","kung fu",120
"978",2016-04-16,"2016","Apr","moradia","vigia",45
"979",2016-04-16,"2016","Apr","alimentação","pao do ma",6.6
"980",2016-04-16,"2016","Apr","pagamentos","cx itau av itamarati",30
"981",2016-04-21,"2016","Apr","moradia","luz",120
"982",2016-04-22,"2016","Apr","telefonia","vivo ",80
"983",2016-04-26,"2016","Apr","telefonia","tim erick & aline",100
"984",2016-04-26,"2016","Apr","investimento","pic (5/21)",82
"985",2016-04-26,"2016","Apr","investimento","google play*app blauec",14.9
"986",2016-04-26,"2016","Apr","alimentação","panificadora pao",7.65
"987",2016-04-26,"2016","Apr","fast food","bk shopping abc",28.5
"988",2016-04-26,"2016","Apr","fast food","mc donalds map",23
"989",2016-04-26,"2016","Apr","alimentação","sacolao saude st",140.22
"990",2016-04-26,"2016","Apr","alimentação","palmito cia",8
"991",2016-04-26,"2016","Apr","alimentação","hitamax",7.84
"992",2016-04-26,"2016","Apr","alimentação","coop capuava",5.49
"993",2016-04-26,"2016","Apr","alimentação","pao do marques",15.45
"994",2016-04-26,"2016","Apr","investimento","uber*uber",9.32
"995",2016-04-26,"2016","Apr","investimento","uber*uber",7.61
"996",2016-04-26,"2016","Apr","transporte","carrefour 409 psc",155.5
"997",2016-04-26,"2016","Apr","equipamentos","carregador usb ",49.99
"998",2016-04-26,"2016","Apr","alimentação","panificadora pao",7.22
"999",2016-04-26,"2016","Apr","alimentação","coop capuava",40
"1000",2016-04-26,"2016","Apr","saúde","remédio joelho ",114
