Status,Ano,Date,Description,CATEGORY,Amount,Cartao
,2017,11 February 2017,PADARIA P,ALIMENTAÇÃO,5.79,
,2017,08 February 2017,seguro fiesta,SEGUROS,132.00,
,2017,06 February 2017,Fiesta,COROLLA,471.00,
,2017,04 February 2017,PADARIA P,ALIMENTAÇÃO,5.80,
,2017,04 February 2017,PASTELARIA NAITO,ALIMENTAÇÃO,5.50,
,2017,04 February 2017,PADARIA P,ALIMENTAÇÃO,5.80,
,2017,03 February 2017,FERRAZ GR,LAZER,29.38,
,2017,01 February 2017,previsao saque,PAGAMENTOS,200.00,
,2017,30 January 2017,conta água,MORADIA,62.00,
,2017,29 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,41.84,
,2017,29 January 2017,PADARIA P,ALIMENTAÇÃO,7.05,
,2017,28 January 2017,PADARIA PAO PAULINOS,ALIMENTAÇÃO,9.10,
,2017,27 January 2017,mafre,SEGUROS,260.00,
,2017,27 January 2017,Cabelo,BELEZA,30.00,
,2017,26 January 2017,PIC (14/21),INVESTIMENTO,82.00,
,2017,26 January 2017,TIM Erick & Aline,TELEFONIA,100.00,
,2017,26 January 2017,Netflix,LAZER,23.00,
,2017,25 January 2017,FAM FARMA NACOES,SAÚDE,21.38,                                                                        Credit Card
,2017,25 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,83.49,                                                                        Credit Card
,2017,25 January 2017,SACOLAO SAUDE ST,ALIMENTAÇÃO,102.59,                                                                        Credit Card
,2017,25 January 2017,BCO24H,PAGAMENTOS,120.00,                                                                        Credit Card
,2017,25 January 2017,CARREFOUR STO 248,ALIMENTAÇÃO,156.10,                                                                        Credit Card
,2017,25 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,15.75,                                                                        Credit Card
,2017,25 January 2017,CARREFOUR PSO 409,TRANSPORTE,108.87,                                                                        Credit Card
,2017,25 January 2017,HITAMAX,ALIMENTAÇÃO,35.09,                                                                        Credit Card
,2017,25 January 2017,MARIA AUXILIADORA,ALIMENTAÇÃO,88.55,                                                                        Credit Card
,2017,25 January 2017,HITAMAX MINIMERCADO,ALIMENTAÇÃO,16.39,                                                                        Credit Card
,2017,25 January 2017,Celular Ru  (2/10),PRESENTES,10.00,                                                                        Credit Card
,2017,25 January 2017,EXTRA 1338,ALIMENTAÇÃO,88.19,                                                                        Credit Card
,2017,25 January 2017,PAO DO MARQUES,ALIMENTAÇÃO,7.55,                                                                        Credit Card
,2017,25 January 2017,AUTO POSTO VILA ROSA,TRANSPORTE,42.00,                                                                        Credit Card
,2017,25 January 2017,BOBS,FAST FOOD,7.00,                                                                        Credit Card
,2017,25 January 2017,COOP CAPUAVA,SAÚDE,74.27,                                                                        Credit Card
,2017,25 January 2017,EXTRA 1338,ALIMENTAÇÃO,320.48,                                                                        Credit Card
,2017,25 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,38.27,                                                                        Credit Card
,2017,25 January 2017,RODRISABOR SORVET,FAST FOOD,12.00,                                                                        Credit Card
,2017,25 January 2017,MOBILLS PREM,PAGAMENTOS,69.90,                                                                        Credit Card
,2017,25 January 2017,CAPRICHO,ALIMENTAÇÃO,8.00,                                                                        Credit Card
,2017,25 January 2017,PAGSEGURO*BoaComp,STEAM,25.00,                                                                        Credit Card
,2017,25 January 2017,CARVAO E GELO,ALIMENTAÇÃO,12.00,                                                                        Credit Card
,2017,25 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,44.00,                                                                        Credit Card
,2017,25 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,87.21,                                                                        Credit Card
,2017,25 January 2017,HITAMAX,ALIMENTAÇÃO,8.39,                                                                        Credit Card
,2017,25 January 2017,CARREFOUR PSO 409,TRANSPORTE,111.28,                                                                        Credit Card
,2017,25 January 2017,MONIGAS COM GAS LTDA,ALIMENTAÇÃO,60.00,                                                                        Credit Card
,2017,25 January 2017,GOOGLE PLAY*THE OLIVE,ALIMENTAÇÃO,2.80,                                                                        Credit Card
,2017,25 January 2017,SAGRADO CORACAO,ALIMENTAÇÃO,16.45,                                                                        Credit Card
,2017,25 January 2017,HITAMAX,ALIMENTAÇÃO,11.01,                                                                        Credit Card
,2017,25 January 2017,SOROCABA,ALIMENTAÇÃO,10.08,                                                                        Credit Card
,2017,25 January 2017,KARTEX DESCARTAVEIS,ALIMENTAÇÃO,34.49,                                                                        Credit Card
,2017,25 January 2017,MARIA AUX,ALIMENTAÇÃO,8.68,                                                                        Credit Card
,2017,25 January 2017,SOROCABA,ALIMENTAÇÃO,8.63,                                                                        Credit Card
,2017,25 January 2017,Presente Jr  (1/3),PRESENTES,30.83,                                                                        Credit Card
,2017,25 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,60.00,                                                                        Credit Card
,2017,25 January 2017,FERRAGENS,EQUIPAMENTOS,6.40,                                                                        Credit Card
,2017,25 January 2017,FERRAGENS MARUKA (1/2),EQUIPAMENTOS,52.98,                                                                        Credit Card
,2017,25 January 2017,AUTO POSTO IRMAOS BATI,TRANSPORTE,50.00,                                                                        Credit Card
,2017,25 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,39.13,                                                                        Credit Card
,2017,25 January 2017,HITAMAX,ALIMENTAÇÃO,28.38,                                                                        Credit Card
,2017,25 January 2017,PADARIA P,ALIMENTAÇÃO,6.00,                                                                        Credit Card
,2017,25 January 2017,HITAMAX,ALIMENTAÇÃO,11.00,                                                                        Credit Card
,2017,25 January 2017,DROGARIA,SAÚDE,9.00,                                                                        Credit Card
,2017,25 January 2017,DECATHLON (1/2),EQUIPAMENTOS,70.00,                                                                        Credit Card
,2017,25 January 2017,CARVAO E GELO,ALIMENTAÇÃO,12.00,                                                                        Credit Card
,2017,25 January 2017,CARREFOUR PSO 409,TRANSPORTE,139.34,                                                                        Credit Card
,2017,25 January 2017,SERASA S/A,SEGUROS,19.90,                                                                        Credit Card
,2017,25 January 2017,LUIS FERNANDO FER,FAST FOOD,23.90,                                                                        Credit Card
,2017,24 January 2017,Realizada transferencia entre contas no,LAZER,40.00,
,2017,23 January 2017,HITAMAX M,ALIMENTAÇÃO,7.78,
,2017,21 January 2017,luz,MORADIA,120.00,
,2017,20 January 2017,Faxina,MORADIA,200.00,
,2017,18 January 2017,Saque,PAGAMENTOS,80.00,
,2017,18 January 2017,Saque,PAGAMENTOS,20.00,
,2017,18 January 2017,Gasolina,TRANSPORTE,50.00,
,2017,16 January 2017,vigia,MORADIA,45.00,
,2017,14 January 2017,PADARIA P,ALIMENTAÇÃO,6.80,
,2017,13 January 2017,PASTELARI,FAST FOOD,5.00,
,2017,13 January 2017,SACOLAO SAUDE ST,ALIMENTAÇÃO,165.95,
,2017,12 January 2017,AUTO POSTO ESTONI,ALIMENTAÇÃO,50.00,
,2017,12 January 2017,FERRAGENS MARUKAI LTDA,ALIMENTAÇÃO,34.90,
,2017,12 January 2017,MARIA AUXILIADORA,ALIMENTAÇÃO,25.90,
,2017,12 January 2017,PIZZARIA BRASITAL,ALIMENTAÇÃO,33.00,
,2017,12 January 2017,PADARIA STOALBERTO,ALIMENTAÇÃO,13.00,
,2017,11 January 2017,MONIGAS COM GAS LTDA,ALIMENTAÇÃO,60.00,
,2017,11 January 2017,FAM FARMA NACOES,ALIMENTAÇÃO,17.12,
,2017,11 January 2017,PADARIA P,ALIMENTAÇÃO,6.45,
,2017,08 January 2017,seguro fiesta,SEGUROS,132.00,
,2017,05 January 2017,Licenciamento carro,COROLLA,421.64,
,2017,04 January 2017,PAGSEGURO,ALIMENTAÇÃO,10.00,
,2017,04 January 2017,COOP CAPUAVA,ALIMENTAÇÃO,76.02,
,2017,01 January 2017,Previsão Farmácia,SAÚDE,60.00,
,2016,30 December 2016,conta água,MORADIA,62.00,
,2016,28 December 2016,Saque,PAGAMENTOS,80.00,
,2016,28 December 2016,Lava rápido,COROLLA,20.00,
,2016,27 December 2016,mafre,SEGUROS,260.00,
,2016,27 December 2016,Cabelo,BELEZA,30.00,
,2016,27 December 2016,Vivo,TELEFONIA,80.00,
,2016,26 December 2016,PADARIA P,ALIMENTAÇÃO,5.95,
,2016,26 December 2016,PIC (13/21),INVESTIMENTO,82.00,
,2016,26 December 2016,Saque,PAGAMENTOS,40.00,
,2016,26 December 2016,COPAFER LJ 2,EQUIPAMENTOS,69.90,
,2016,26 December 2016,COOP CAPUAVA,ALIMENTAÇÃO,65.72,
,2016,26 December 2016,Celular Ru  (1/10),PRESENTES,10.00,
,2016,26 December 2016,SUP CENT ST ANDRE 2800,ALIMENTAÇÃO,39.54,
,2016,26 December 2016,A NOSSA BANCA,PRESENTES,27.89,
,2016,26 December 2016,A NOSSA BANCA,PRESENTES,28.80,
,2016,26 December 2016,PASTELARIA NAITO,FAST FOOD,10.50,
,2016,26 December 2016,CARREFOUR PSO 409,TRANSPORTE,112.59,
,2016,26 December 2016,COOP CAPUAVA,ALIMENTAÇÃO,53.81,
,2016,26 December 2016,FERRAZ GRILL,FAST FOOD,61.50,
,2016,26 December 2016,CARREFOUR PSO 409,TRANSPORTE,85.57,
,2016,26 December 2016,NUUVEM*201133614083311,STEAM,17.99,
,2016,26 December 2016,COOP CAPUAVA,ALIMENTAÇÃO,25.17,
,2016,26 December 2016,DROGARIA SAO PAULO SA,ALIMENTAÇÃO,59.49,
,2016,26 December 2016,COOP CAPUAVA,ALIMENTAÇÃO,46.50,
,2016,26 December 2016,UBER*UBER BR NOV29 KQH,INVESTIMENTO,13.45,
,2016,26 December 2016,KILOUCURA RESTAUR,FAST FOOD,24.53,
,2016,26 December 2016,PALMITO CIA,ALIMENTAÇÃO,19.00,
,2016,26 December 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,89.54,
,2016,26 December 2016,PASTELARIA NAITO,FAST FOOD,13.50,
,2016,26 December 2016,AUTO POSTO MIRO,TRANSPORTE,35.00,
,2016,26 December 2016,COOP CAPUAVA,ALIMENTAÇÃO,14.54,
,2016,26 December 2016,SUP CENT ST ANDRE 2800,ALIMENTAÇÃO,82.25,
,2016,26 December 2016,SAGRADO CORACAO,ALIMENTAÇÃO,54.82,
,2016,26 December 2016,HITAMAX,ALIMENTAÇÃO,10.28,
,2016,26 December 2016,COOP CAPUAVA,ALIMENTAÇÃO,49.13,
,2016,26 December 2016,A P IRMAOS BATIST,TRANSPORTE,128.03,
,2016,26 December 2016,COOP CAPUAVA,ALIMENTAÇÃO,34.32,
,2016,26 December 2016,JACQUES DE ALMEID,ALIMENTAÇÃO,12.00,
,2016,26 December 2016,PIZZARIA BRASITAL,FAST FOOD,47.00,
,2016,26 December 2016,CARREFOUR PSO 409,TRANSPORTE,81.15,
,2016,26 December 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,165.90,
,2016,26 December 2016,A P IRMAOS BATIST,TRANSPORTE,50.00,
,2016,26 December 2016,TIM Erick & Aline,TELEFONIA,100.00,
,2016,26 December 2016,Netflix,LAZER,23.00,
,2016,21 December 2016,luz,MORADIA,120.00,
,2016,16 December 2016,vigia,PAGAMENTOS,90.00,
,2016,15 December 2016,JACQUES D,ALIMENTAÇÃO,7.20,
,2016,15 December 2016,kung fu,EDUCAÇÃO,130.00,
,2016,15 December 2016,convênio,SAÚDE,278.00,
,2016,10 December 2016,PADARIA P,ALIMENTAÇÃO,9.15,
,2016,08 December 2016,seguro fiesta,SEGUROS,132.00,
,2016,05 December 2016,Faxina,MORADIA,200.00,
,2016,30 November 2016,conta água,MORADIA,62.00,
,2016,28 November 2016,Faxina,TERCEIROS,100.00,
,2016,27 November 2016,mafre,SEGUROS,260.00,
,2016,27 November 2016,Cabelo,BELEZA,30.00,
,2016,27 November 2016,Vivo,TELEFONIA,80.00,
,2016,26 November 2016,PIC (12/21),INVESTIMENTO,82.00,
,2016,26 November 2016,TIM Erick & Aline,TELEFONIA,100.00,
,2016,26 November 2016,Netflix,LAZER,23.00,
,2016,25 November 2016,MERCADOPAGO,EQUIPAMENTOS,21.00,
,2016,25 November 2016,HITAMAX MINIMERCADO,ALIMENTAÇÃO,22.17,
,2016,25 November 2016,COOP CAPUAVA,SAÚDE,44.11,
,2016,25 November 2016,AUTO POSTO ESTRELA DAS,TRANSPORTE,20.00,
,2016,25 November 2016,COOP CAPUAVA,SAÚDE,75.51,
,2016,25 November 2016,ARMARINHOS FERNAN,PRESENTES,88.80,
,2016,25 November 2016,PIZZARIA BRASITAL,FAST FOOD,48.50,
,2016,25 November 2016,MERCADINHO A MINE,ALIMENTAÇÃO,22.31,
,2016,25 November 2016,A P IRMAOS BATIST,TRANSPORTE,101.00,
,2016,25 November 2016,PASTELARIA NAITO,FAST FOOD,22.50,
,2016,25 November 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,79.73,
,2016,25 November 2016,Capa celular,EQUIPAMENTOS,24.13,
,2016,25 November 2016,A P IRMAOS BATIST,TRANSPORTE,50.00,
,2016,25 November 2016,COOP CAPUAVA,ALIMENTAÇÃO,29.59,
,2016,25 November 2016,A P IRMAOS BATIST,TRANSPORTE,34.49,
,2016,25 November 2016,COOP CAPUAVA,SAÚDE,53.39,
,2016,25 November 2016,PASTELARIA NAITO,FAST FOOD,16.00,
,2016,25 November 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,54.16,
,2016,25 November 2016,KILOUCURA RESTAURANTE,ALIMENTAÇÃO,20.35,
,2016,25 November 2016,DROGARIA ESQUINA DA FE,SAÚDE,22.12,
,2016,25 November 2016,DROGARIA AMERICA,SAÚDE,30.00,
,2016,25 November 2016,COOP CAPUAVA,ALIMENTAÇÃO,34.89,
,2016,25 November 2016,capa celular,EQUIPAMENTOS,43.00,
,2016,25 November 2016,CARREFOUR PSO 409,TRANSPORTE,101.81,
,2016,25 November 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,60.59,
,2016,25 November 2016,PALMITO C,ALIMENTAÇÃO,10.00,
,2016,25 November 2016,COOP CAPUAVA,ALIMENTAÇÃO,29.81,
,2016,25 November 2016,HABIB S,FAST FOOD,15.50,
,2016,25 November 2016,COOP CAPUAVA,ALIMENTAÇÃO,19.84,
,2016,25 November 2016,PAGSEGURO*BoaComp,STEAM,12.50,
,2016,25 November 2016,COOP CAPUAVA,ALIMENTAÇÃO,20.05,
,2016,25 November 2016,DELIVERY EX MORUM,ALIMENTAÇÃO,446.86,
,2016,25 November 2016,PAGSEGUROUOL*salincleb,FAST FOOD,36.08,
,2016,25 November 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,67.91,
,2016,25 November 2016,PAO DO MARQUES,ALIMENTAÇÃO,12.28,
,2016,25 November 2016,SAGRADO CORACAO,ALIMENTAÇÃO,43.34,
,2016,25 November 2016,HITAMAX,ALIMENTAÇÃO,17.37,
,2016,25 November 2016,FERRAGENS MARUKAI LTDA,EQUIPAMENTOS,11.60,
,2016,25 November 2016,RODRISABOR SORVET,FAST FOOD,12.00,
,2016,25 November 2016,LOJAS RENNER FL 2,ROUPA,25.90,
,2016,25 November 2016,EXTRA 1338,ROUPA,158.35,
,2016,25 November 2016,CHURRASCARIA LANC,FAST FOOD,16.50,
,2016,25 November 2016,COOP CAPUAVA,ALIMENTAÇÃO,28.82,
,2016,25 November 2016,AUTO POSTO MIRO,TRANSPORTE,49.97,
,2016,25 November 2016,EC*ALIPAY,EQUIPAMENTOS,167.59,
,2016,25 November 2016,PADARIA L,FAST FOOD,11.50,
,2016,25 November 2016,PADARIA P,ALIMENTAÇÃO,8.40,
,2016,25 November 2016,ESTAPAR AERO GUARULHOS,PAGAMENTOS,18.00,
,2016,25 November 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,69.12,
,2016,25 November 2016,CARREFOUR PSO 409,TRANSPORTE,93.64,
,2016,25 November 2016,SUP CENT,ALIMENTAÇÃO,123.37,
,2016,25 November 2016,FARMA SUP,SAÚDE,9.72,
,2016,23 November 2016,COOP CAPU,ALIMENTAÇÃO,39.42,
,2016,21 November 2016,luz,MORADIA,120.00,
,2016,20 November 2016,PADARIA P,ALIMENTAÇÃO,5.69,
,2016,20 November 2016,PANIFICAD,ALIMENTAÇÃO,10.30,
,2016,16 November 2016,vigia,MORADIA,45.00,
,2016,15 November 2016,convênio,SAÚDE,278.00,
,2016,15 November 2016,kung fu,EDUCAÇÃO,130.00,
,2016,12 November 2016,Gasolina,TRANSPORTE,50.00,
,2016,12 November 2016,PADARIA P,ALIMENTAÇÃO,9.75,
,2016,08 November 2016,seguro fiesta,SEGUROS,132.00,
,2016,07 November 2016,Saque,PAGAMENTOS,40.00,
,2016,06 November 2016,PADARIA P,ALIMENTAÇÃO,9.17,
,2016,04 November 2016,SUP CENT,ALIMENTAÇÃO,22.07,
,2016,04 November 2016,A P IRMAO,TRANSPORTE,143.00,
,2016,02 November 2016,PADARIA P,ALIMENTAÇÃO,8.90,
,2016,31 October 2016,Gás,ALIMENTAÇÃO,56.00,
,2016,30 October 2016,BCO24H,PAGAMENTOS,80.00,
,2016,30 October 2016,conta água,MORADIA,62.00,
,2016,29 October 2016,PADARIA P,ALIMENTAÇÃO,6.35,
,2016,27 October 2016,Saque,PAGAMENTOS,20.00,
,2016,27 October 2016,Cabelo,BELEZA,30.00,
,2016,27 October 2016,mafre,SEGUROS,260.00,
,2016,27 October 2016,Vivo,TELEFONIA,80.00,
,2016,26 October 2016,PIC (11/21),INVESTIMENTO,82.00,
,2016,26 October 2016,TIM Erick & Aline,TELEFONIA,100.00,
,2016,26 October 2016,Netflix,LAZER,23.00,
,2016,25 October 2016,CARREFOUR PSO 409,TRANSPORTE,62.50,
,2016,25 October 2016,CARREFOUR STO 248,ALIMENTAÇÃO,65.31,
,2016,25 October 2016,BOUTIQUE DO PAO,ALIMENTAÇÃO,5.98,
,2016,25 October 2016,SERASA,SEGUROS,19.90,
,2016,25 October 2016,PADARIA PAO PAULINOS,ALIMENTAÇÃO,8.90,
,2016,25 October 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,110.31,
,2016,25 October 2016,NIVALDO FERREIRA,LAZER,65.00,
,2016,25 October 2016,A P IRMAOS BATIST,TRANSPORTE,50.98,
,2016,25 October 2016,A P IRMAOS BATIST,TRANSPORTE,50.98,
,2016,25 October 2016,HITAMAX,ALIMENTAÇÃO,27.96,
,2016,25 October 2016,Toalhas de mesa,ROUPA,97.60,
,2016,25 October 2016,AUTO POSTO MIRO,TRANSPORTE,34.99,
,2016,25 October 2016,Japonês 5 anos,LAZER,164.12,
,2016,25 October 2016,HITAMAX,ALIMENTAÇÃO,7.16,
,2016,25 October 2016,DELIVERY EX MORUM,ALIMENTAÇÃO,503.63,
,2016,25 October 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,107.16,
,2016,25 October 2016,CARREFOUR PSO 409,TRANSPORTE,85.07,
,2016,25 October 2016,HITAMAX M,ALIMENTAÇÃO,7.48,
,2016,25 October 2016,PAGSEGURO*BoaComp,STEAM,25.00,
,2016,25 October 2016,BOUTIQUE,ALIMENTAÇÃO,6.95,
,2016,25 October 2016,FERRAGENS MARUKAI LTDA,EQUIPAMENTOS,62.50,
,2016,25 October 2016,CARREFOUR PSO 409,TRANSPORTE,91.77,
,2016,25 October 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,122.00,
,2016,25 October 2016,SAGRADO CORACAO,ALIMENTAÇÃO,49.49,
,2016,25 October 2016,HITAMAX MINIMERCADO,ALIMENTAÇÃO,11.67,
,2016,25 October 2016,Gasolina,TRANSPORTE,50.00,
,2016,25 October 2016,COOP CAPUAVA,ALIMENTAÇÃO,32.54,
,2016,25 October 2016,CARREFOUR PSO 409,TRANSPORTE,93.41,
,2016,25 October 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,112.36,
,2016,25 October 2016,BCO24H,PAGAMENTOS,80.00,
,2016,25 October 2016,A P IRMAOS BATIST,TRANSPORTE,36.28,
,2016,22 October 2016,PADARIA P,ALIMENTAÇÃO,12.90,
,2016,21 October 2016,luz,MORADIA,120.00,
,2016,19 October 2016,Açaí,FAST FOOD,20.00,
,2016,16 October 2016,vigia,MORADIA,45.00,
,2016,15 October 2016,kung fu,EDUCAÇÃO,130.00,
,2016,15 October 2016,convênio,SAÚDE,278.00,
,2016,12 October 2016,RODRISABO,FAST FOOD,12.00,
,2016,12 October 2016,PADARIA P,ALIMENTAÇÃO,5.35,
,2016,11 October 2016,Recarga de telefone celular (11) XXXXX-2922 no,TELEFONIA,10.00,
,2016,09 October 2016,PADARIA P,ALIMENTAÇÃO,5.30,
,2016,01 October 2016,HITAMAX M,ALIMENTAÇÃO,11.19,
,2016,30 September 2016,conta água,MORADIA,62.00,
,2016,27 September 2016,Vivo,TELEFONIA,80.00,
,2016,27 September 2016,Cabelo,BELEZA,30.00,
,2016,27 September 2016,mafre,SEGUROS,260.00,
,2016,26 September 2016,PIC (10/21),INVESTIMENTO,82.00,
,2016,26 September 2016,MERCADOPAGO (3/3),COROLLA,52.04,
,2016,26 September 2016,WEBMOTORS (3/3),COROLLA,49.97,
,2016,26 September 2016,UNIPET (2/10),EDUCAÇÃO,198.90,
,2016,26 September 2016,PET SHOP DR HATO (2/3),PET,69.30,
,2016,26 September 2016,HITAMAX,ALIMENTAÇÃO,16.55,
,2016,26 September 2016,SACOLAO SAUDE ST,ALIMENTAÇÃO,84.67,
,2016,26 September 2016,CARREFOUR PSO 409,TRANSPORTE,90.32,
,2016,26 September 2016,UBER*UBER BR AUG15 3SE,INVESTIMENTO,22.99,
,2016,26 September 2016,LOJA WU LT EPP,EQUIPAMENTOS,23.00,
,2016,26 September 2016,PAGSEGURO*BoaComp,STEAM,14.99,
,2016,26 September 2016,COOP CAPUAVA,ALIMENTAÇÃO,26.54,
