"Status","Date","Description","Category","Account","Amount",""
"","27 February 2017","CARREFOUR PSO 409","Transporte","","$129.37",""
"","27 February 2017","SACOLAO SAUDE ST","Alimentação","","$91.24",""
"","27 February 2017","CJ RAMOS COM DE A","Alimentação","","$16.32",""
"","27 February 2017","HITAMAX","Alimentação","","$27.15",""
"","27 February 2017","Cafeteira (1/2)","Equipamentos","","$35.49",""
"","27 February 2017","ALLFA TV (1/2)","Equipamentos","","$60.00",""
"","27 February 2017","AUTO POSTO IRMAOS BATI","Transporte","","$73.98",""
"","27 February 2017","COOP CAPUAVA","Alimentação","","$28.86",""
"","27 February 2017","COOP CAPUAVA","Alimentação","","$19.25",""
"","27 February 2017","AUTO POSTO IRMAOS BATI","Transporte","","$50.00",""
"","27 February 2017","CARREFOUR PSO 409","Transporte","","$79.42",""
"","27 February 2017","CARREFOUR STO 248","Alimentação","","$494.23",""
"","27 February 2017","COOP CAPU","Alimentação","","$33.89",""
"","27 February 2017","COOP JARDIM MILENA","Alimentação","","$40.17",""
"","27 February 2017","SACOLAO SAUDE ST","Alimentação","","$53.90",""
"","27 February 2017","CJ RAMOS COM DE A","Alimentação","","$17.06",""
"","27 February 2017","PALMITO CIA","Alimentação","","$21.00",""
"","27 February 2017","LIMAO CITY S GRIL","fast food","","$18.90",""
"","27 February 2017","AUTO POSTO IRMAOS BATI","Transporte","","$50.00",""
"","27 February 2017","COOP CAPUAVA","Alimentação","","$39.78",""
"","27 February 2017","COOP CAPUAVA","Alimentação","","$37.96",""
"","27 February 2017","AUTO POSTO IRMAOS BATI","Transporte","","$50.00",""
"","27 February 2017","BK FILIAL BEST CE","fast food","","$25.00",""
"","27 February 2017","CARREFOUR PSO 409","Transporte","","$107.49",""
"","27 February 2017","CARREFOUR STO 248","Alimentação","","$127.36",""
"","27 February 2017","SACOLAO SAUDE ST","Alimentação","","$74.77",""
"","27 February 2017","mafre","seguros","","$260.00",""
"","27 February 2017","Vivo","telefonia","","$100.00",""
"","26 February 2017","Netflix","Lazer","","$23.00",""
"","26 February 2017","TIM Erick & Aline","telefonia","","$100.00",""
"","26 February 2017","PIC (15/21)","investimento","","$82.00",""
"","21 February 2017","luz","Moradia","","$120.00",""
"","20 February 2017","Faxina","Moradia","","$200.00",""
"","19 February 2017","PANIFICAD","Lazer","","$10.00",""
"","19 February 2017","PADARIA P","Alimentação","","$6.35",""
"","18 February 2017","PAGSEGURO","fast food","","$15.00",""
"","18 February 2017","PADARIA P","Alimentação","","$8.70",""
"","16 February 2017","vigia","Moradia","","$45.00",""
"","16 February 2017","BOUTIQUE","Alimentação","","$9.85",""
"","15 February 2017","convênio","Saúde","","$315.00",""
"","15 February 2017","seguro residencia","Moradia","","$177.00",""
"","11 February 2017","PADARIA P","Alimentação","","$5.79",""
"","08 February 2017","seguro fiesta","Corolla","","$132.00",""
"","06 February 2017","Fiesta","Corolla","","$471.00",""
"","04 February 2017","PADARIA P","Alimentação","","$5.80",""
"","04 February 2017","PASTELARIA NAITO","Alimentação","","$5.50",""
"","04 February 2017","PADARIA P","Alimentação","","$5.80",""
"","03 February 2017","FERRAZ GR","Lazer","","$29.38",""
"","01 February 2017","previsao saque","Pagamentos","","$200.00",""
"","30 January 2017","conta água","Moradia","","$62.00",""
"","29 January 2017","COOP CAPUAVA","Alimentação","","$41.84",""
"","29 January 2017","PADARIA P","Alimentação","","$7.05",""
"","28 January 2017","PADARIA PAO PAULINOS","Alimentação","","$9.10",""
"","27 January 2017","mafre","seguros","","$260.00",""
"","26 January 2017","Netflix","Lazer","","$23.00",""
"","26 January 2017","TIM Erick & Aline","telefonia","","$100.00",""
"","26 January 2017","PIC (14/21)","investimento","","$82.00",""
"","25 January 2017","Celular Ru  (2/10)","presentes","","$10.00",""
"","25 January 2017","AUTO POSTO VILA ROSA","Transporte","","$42.00",""
"","25 January 2017","HITAMAX MINIMERCADO","Alimentação","","$16.39",""
"","25 January 2017","COOP CAPUAVA","Alimentação","","$60.00",""
"","25 January 2017","CARREFOUR PSO 409","Transporte","","$111.28",""
"","25 January 2017","PAO DO MARQUES","Alimentação","","$7.55",""
"","25 January 2017","SERASA S/A","seguros","","$19.90",""
"","25 January 2017","Presente Jr  (1/3)","presentes","","$30.83",""
"","25 January 2017","HITAMAX","Alimentação","","$8.39",""
"","25 January 2017","MOBILLS PREM","Pagamentos","","$69.90",""
"","25 January 2017","HITAMAX","Alimentação","","$28.38",""
"","25 January 2017","COOP CAPUAVA","Alimentação","","$87.21",""
"","25 January 2017","COOP CAPUAVA","Alimentação","","$15.75",""
"","25 January 2017","CARREFOUR PSO 409","Transporte","","$139.34",""
"","25 January 2017","DECATHLON (1/2)","Equipamentos","","$70.00",""
"","25 January 2017","COOP CAPUAVA","Alimentação","","$44.00",""
"","25 January 2017","PAGSEGURO*BoaComp","Steam","","$25.00",""
"","25 January 2017","SOROCABA","Alimentação","","$8.63",""
"","25 January 2017","HITAMAX","Alimentação","","$35.09",""
"","25 January 2017","EXTRA 1338","Alimentação","","$320.48",""
"","25 January 2017","PADARIA P","Alimentação","","$6.00",""
"","25 January 2017","MARIA AUXILIADORA","Alimentação","","$88.55",""
"","25 January 2017","CARVAO E GELO","Alimentação","","$12.00",""
"","25 January 2017","COOP CAPUAVA","Alimentação","","$39.13",""
"","25 January 2017","COOP CAPUAVA","Alimentação","","$38.27",""
"","25 January 2017","COOP CAPUAVA","Saúde","","$74.27",""
"","25 January 2017","BOBS","fast food","","$7.00",""
"","25 January 2017","BCO24H","Pagamentos","","$120.00",""
"","25 January 2017","AUTO POSTO IRMAOS BATI","Transporte","","$50.00",""
"","25 January 2017","FERRAGENS","Equipamentos","","$6.40",""
